Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,Post lipid correction,dCnormalized = dCraw - 3.32 + 0.99 X C:N
A-22-01-M,4.006684926,-26.51338192,-25.93096443,-27.16,8.07,lake,smallmouth bass,may,muscle,,Kiljunen lipid correction,dCnormalized=dCraw + 7.018 * (0.048 + ((3.9)/(1 + 287/(-20.54 + 7.54 * C:N))))
A-22-01-L,5.538798009,-26.27658997,-26.21857205,-28.44,7.92,lake,smallmouth bass,may,liver,,,
A-22-05-M,3.945945776,-25.36351368,-24.76190203,-25.95,8.13,lake,smallmouth bass,may,muscle,,,
A-22-05-L,6.532061152,-24.44325946,-24.76401066,-27.59,8.05,lake,smallmouth bass,may,liver,,,
A-22-09-M,3.793778699,-25.84415909,-25.19501916,-26.28,7.15,lake,smallmouth bass,may,muscle,,,
A-22-09-L,5.101220161,-25.99979204,-25.78433231,-27.73,7.08,lake,smallmouth bass,may,liver,,,
A-22-06-M,3.925514402,-26.39374074,-25.78570105,-26.96,8.11,lake,smallmouth bass,may,muscle,,,
A-22-06-L,7.608325701,-24.23775756,-25.00049587,-28.45,7.37,lake,smallmouth bass,may,liver,,,
A-22-10-M,3.892587745,-26.93633813,-26.31796942,-27.47,8.43,lake,smallmouth bass,may,muscle,,,
A-22-10-L,5.486488853,-27.02837604,-26.95122604,-29.14,7.83,lake,smallmouth bass,may,liver,,,
A-22-11-M,3.960748887,-28.6288586,-28.03191322,-29.23,7.29,lake,smallmouth bass,may,muscle,,,
A-22-11-L,6.081271546,-28.55954117,-28.70479566,-31.26,6,lake,smallmouth bass,may,liver,,,
A-A22-04-M,3.890448473,-27.26845601,-26.64941751,-27.8,6.51,lake,smallmouth bass,august,muscle,,,
A-A22-04-L,5.156298057,-27.83526492,-27.63929453,-29.62,5.82,lake,smallmouth bass,august,liver,,,
A-A22-03-M,3.809966338,-25.77813333,-25.13401139,-26.23,7.2,lake,smallmouth bass,august,muscle,,,
A-A22-03-L,5.134908385,-26.1164407,-25.91289024,-27.88,6.23,lake,smallmouth bass,august,liver,,,
A-A22-02-M,3.797199112,-28.23077288,-27.58269248,-28.67,6.63,lake,smallmouth bass,august,muscle,,,
A-A22-02-L,5.1821582,-26.75966338,-26.57287648,-28.57,6.26,lake,smallmouth bass,august,liver,,,
A-A22-01-M,3.931174877,-25.88813687,-25.28187662,-26.46,6.9,lake,smallmouth bass,august,muscle,,,
A-A22-01-L,5.426944475,-25.31732497,-25.2184986,-27.37,6.28,lake,smallmouth bass,august,liver,,,
A-A22-10-M,3.966549851,-26.58311565,-25.9880009,-27.19,7.17,lake,smallmouth bass,august,muscle,,,
A-A22-10-L,5.945236474,-26.18421589,-26.27767213,-28.75,5.87,lake,smallmouth bass,august,liver,,,
A-A22-09-M,3.965375891,-27.21427787,-26.61879256,-27.82,6.83,lake,smallmouth bass,august,muscle,,,
A-A22-09-L,6.562497954,-26.88312703,-27.21593753,-30.06,6.42,lake,smallmouth bass,august,liver,,,
A-A22-06-M,3.841232756,-25.95717957,-25.32277563,-26.44,7.42,lake,smallmouth bass,august,muscle,,,
A-A22-06-L,5.741036114,-26.17637425,-26.19310718,-28.54,6.95,lake,smallmouth bass,august,liver,,,
A-A22-05-M,3.836785976,-26.23158188,-25.59579376,-26.71,7.27,lake,smallmouth bass,august,muscle,,,
A-A22-05-L,5.422243286,-26.17197915,-26.07144601,-28.22,6.17,lake,smallmouth bass,august,liver,,,
EF4-A22-AL,14.31539552,-24.37775844,-28.5039393,-35.23,1.55,creek,algae,august,,,,
EF4-A22-LE,26.14024362,-6.841158818,-18.63851119,-29.4,-0.92,creek,leaves,august,,,,
FYKE-A22-AL,19.98476155,-20.99508607,-28.58390719,-37.46,1.86,creek,algae,august,,,,
FYKE-A22-LE,25.35176089,-8.451756723,-19.68866296,-30.23,0.39,creek,leaves,august,,,,
EF5-A22-AL,31.42899151,-2.075298406,-17.76624865,-29.87,0.84,lake,algae,august,,,,
EF5-A22-LE,25.22097799,-6.891231788,-18.03573305,-28.54,-1.32,lake,leaves,august,,,,
EF3-A22-LE,23.32362001,-9.299616185,-19.12212779,-29.07,-1.08,lake,leaves,august,,,,
EF3-A22-AL,24.77311052,-4.774620581,-15.603902,-25.98,-1.68,lake,algae,august,,,,
WEIR-A22-AL,19.2482563,-16.69422626,-23.80797705,-32.43,1.83,creek,algae,august,,,,
WEIR-A22-LE,28.39397219,-4.05996753,-17.48928582,-28.85,0.93,creek,leaves,august,,,,
EF2-A22-AL,23.37888926,-16.96489964,-26.82541179,-36.79,-2.27,lake,algae,august,,,,
EF2-A22-LE,28.57668759,-5.09907929,-18.66255699,-30.07,-2.23,lake,leaves,august,,,,
EF1-A22-Al,18.49354199,-32.14139343,-38.77554037,-47.13,0.72,lake,algae,august,,,,
EF1-A22-LE,24.23827178,-8.164110938,-18.61948467,-28.84,-0.42,lake,leaves,august,,,,
EF2-A22-OD,5.285864501,-28.75699414,-28.60724552,-30.67,2.76,lake,odonate,august,,,,
EF4-A22-OD,5.487910592,-30.60696851,-30.53033741,-32.72,4.02,creek,odonate,august,,,,
EF3-A22-MF,6.339901131,-24.80349788,-25.04872308,-27.76,1.88,lake,mayfly,august,,,,
EF4-A22-MUSS,5.393587128,-28.30034874,-28.18942668,-30.32,1.75,creek,mussel,august,,,,
EF1-A22-MUSS,5.320845719,-28.25236274,-28.11518303,-30.2,1.13,lake,mussel,august,,,,
WD-A22-MUSS-1,5.33267744,-30.82064933,-30.68772941,-32.78,3.76,creek,mussel,august,,,,
EF3-A22-MUSS,5.413150962,-27.89098055,-27.78714836,-29.93,1.62,lake,mussel,august,,,,
EF4-22-LE,17.3035116,-14.42952351,-20.32301871,-28.24,-1.34,creek,leaves,may,,,,
EF4-22-ODO,5.853681976,-29.83485484,-29.89375792,-32.31,4.3,creek,odonate,may,,,,
EF2-22-AL,17.02917026,-14.72112144,-20.44669206,-28.26,-1.11,lake,algae,may,,,,
EF2-22-ODO,5.349904423,-27.91359462,-27.78688468,-29.89,2.58,lake,odonate,may,,,,
EF4-22-MF,5.564838959,-32.21080943,-32.16234713,-34.4,2.1,creek,mayfly,may,,,,
EF1-A22-TB,6.030197237,-27.37010474,-27.49584769,-30.02,0.2,lake,catterpillar,august,,,,
WD-A22-MUSS-2,6.249699286,-30.97279771,-31.18293583,-33.84,4.03,creek,mussel,august,,,,
WD-22-MUSS,5.334781955,-31.46856586,-31.33640408,-33.43,4.04,creek,mussel,may,,,,
EF1-22-ODO,5.453284489,-27.58124836,-27.49199731,-29.66,3.66,lake,odonate,may,,,,
EF3-22-ODO,5.730372159,-27.81693156,-27.82969205,-30.17,2.53,lake,odonate,may,,,,
EF2-22-LE,24.20473455,-9.107312797,-19.53933365,-29.75,-2.69,lake,leaves,may,,,,
EF4-22-AL,16.61807926,-16.94810153,-22.4240924,-30.08,0.12,creek,algae,may,,,,
FU-22-LE,19.34713398,-12.80633736,-19.98346983,-28.64,-0.63,creek,leaves,may,,,,
FU-22-AL,14.4505037,-20.78400133,-24.98700611,-31.77,0.97,creek,algae,may,,,,
WD-22-AL,,-3.32,-1.772960769,,0.9,creek,algae,may,,,,
WD-22-LE,15.51773106,-14.92744625,-19.74791948,-26.97,0.82,creek,leaves,may,,,,
FU-22-07-M,3.997287078,-26.24268579,-25.65729022,-26.88,6.46,creek,smallmouth bass,may,muscle,,,
FU-22-07-L,5.356743498,-27.85682394,-27.7325819,-29.84,7.77,creek,smallmouth bass,may,liver,,,
A-A22-07-M,3.945326632,-27.78412663,-27.18231998,-28.37,8.27,lake,smallmouth bass,august,muscle,,,
A-A22-07-L,6.365905566,-26.83775349,-27.09313755,-29.82,6.9,lake,smallmouth bass,august,liver,,,
OP17-A22-02-M,3.899049609,-26.13994089,-25.5235963,-26.68,6.45,lake,creek chub,august,muscle,,,
OP17-A22-02-L,4.803555075,-24.88448048,-24.56535574,-26.32,5.05,lake,creek chub,august,liver,,,
OP6-S22-802-M,4.106985264,-27.03408459,-26.48363895,-27.78,5.81,lake,bluntnose minnow,august,muscle,,,
OP6-S22-803-M,3.935860878,-26.91349773,-26.30871141,-27.49,5.81,lake,bluntnose minnow,august,muscle,,,
WD-22-64-M,3.997872411,-30.52210631,-29.93689614,-31.16,6.02,creek,pearl dace,may,muscle,,,
WD-22-64-L,4.565657842,-28.73999874,-28.34007271,-29.94,6.19,creek,pearl dace,may,liver,,,
WU-22-27-M,4.046507569,-27.97395751,-27.40419288,-28.66,7.84,creek,pearl dace,may,muscle,,,
WU-22-24-M,4.185248888,-29.7066036,-29.1813427,-30.53,4.49,creek,common shiner,may,muscle,,,
WU-14-22-M,4.061760925,-28.19885668,-27.63395285,-28.9,5.47,creek,common shiner,may,muscle,,,
EF4-A22-104-M,3.861973235,-28.1866465,-27.55870764,-28.69,7.03,creek,common shiner,august,muscle,,,
WD-A22-57-M,3.971104429,-27.67860661,-27.08492999,-28.29,7.7,creek,common shiner,august,muscle,,,
WU-14-22-L,8.065302433,-27.66535059,-28.62510628,-32.33,4.94,creek,common shiner,may,liver,,,
OP17-A22-01-M,3.887270002,-27.7316027,-27.11156933,-28.26,4.75,lake,golden shiner,august,muscle,,,
OP12-22-321-M,4.089206107,-27.47168595,-26.91554803,-28.2,6.08,lake,golden shiner,may,muscle,,,
FU-22-12-M,3.953155935,-29.87637562,-29.27703583,-30.47,6.93,creek,brassy minnow,may,muscle,,,
FU-22-08-M,3.924557964,-27.22468762,-26.61634736,-27.79,6.56,creek,smallmouth bass,may,muscle,,,
FU-22-08-L,5.259836988,-26.49276138,-26.33368563,-28.38,7.05,creek,smallmouth bass,may,liver,,,
A-22-03-M,3.967419899,-25.5822543,-24.98741422,-26.19,7.71,lake,smallmouth bass,may,muscle,,,
A-22-03-L,6.28882948,-24.21405881,-24.43938911,-27.12,7.11,lake,smallmouth bass,may,liver,,,
A-A22-08-M,3.754350448,-29.54319306,-28.88186895,-29.94,6.54,lake,smallmouth bass,august,muscle,,,
A-A22-08-L,5.481368464,-28.52344522,-28.44442694,-30.63,5.55,lake,smallmouth bass,august,liver,,,
OP1-22-123-M,3.632110953,-27.96421016,-27.26545672,-28.24,6.43,lake,golden shiner,may,muscle,,,
OP1-22-123-L,5.324319285,-27.99892391,-27.86299434,-29.95,6.14,lake,golden shiner,may,liver,,,
OP1-22-34-M,3.686427719,-29.43043656,-28.74825009,-29.76,6.18,lake,golden shiner,may,muscle,,,
OP1-22-34-L,5.293171182,-29.30976053,-29.1626341,-31.23,6.3,lake,golden shiner,may,liver,,,
CC12-22-203-M,3.55750721,-29.19806786,-28.47672917,-29.4,6.13,creek,golden shiner,may,muscle,,,
CC12-22-203-L,5.223330143,-28.23890316,-28.06678048,-30.09,5.06,creek,golden shiner,may,liver,,,
OP7-22-379-M,3.684855943,-28.83199262,-28.14932529,-29.16,6.58,lake,golden shiner,may,muscle,,,
OP7-22-379-L,6.013120785,-26.85701042,-26.9762469,-29.49,6.36,lake,golden shiner,may,liver,,,
FU-22-16-M,3.731779202,-27.90553859,-27.23726387,-28.28,6.51,creek,golden shiner,may,muscle,,,
FU-22-16-L,4.991254683,-28.72865786,-28.47457307,-30.35,5.05,creek,golden shiner,may,liver,,,
CC10-22-18-M,3.66411191,-31.27252921,-30.58352373,-31.58,8.17,creek,golden shiner,may,muscle,,,
CC10-22-18-L,5.576030476,-30.48972983,-30.44538055,-32.69,6.33,creek,golden shiner,may,liver,,,
CC16-22-230-M,3.644315627,-31.17212753,-30.47708757,-31.46,7.17,creek,golden shiner,may,muscle,,,
CC16-22-230-L,4.845293964,-29.99315898,-29.68839966,-31.47,6.65,creek,golden shiner,may,liver,,,
UP2-22-97-M,3.799031358,-29.68895896,-29.04144629,-30.13,7.53,creek,golden shiner,may,muscle,,,
UP2-22-97-L,5.318001323,-28.50517869,-28.36697556,-30.45,7.28,creek,golden shiner,may,liver,,,
CC16-22-225-M,3.682989997,-28.2638399,-27.58060184,-28.59,7.15,creek,golden shiner,may,muscle,,,
CC16-22-225-L,3.790088252,-27.70781263,-27.05752998,-28.14,6.68,creek,golden shiner,may,liver,,,
WU-22-02-M,3.893972192,-29.69496753,-29.07703236,-30.23,6.45,creek,golden shiner,may,muscle,,,
WU-22-02-L,5.455490572,-31.60906433,-31.52061623,-33.69,4.75,creek,golden shiner,may,liver,,,
WU-22-10-M,3.997331262,-28.10264205,-27.51726047,-28.74,6.04,creek,common shiner,may,muscle,,,
WU-22-10-L,7.970301804,-26.23940121,-27.15775533,-30.81,6.06,creek,common shiner,may,liver,,,
OP3-22-132-M,3.724078007,-28.92316277,-28.25252061,-29.29,6.71,lake,common shiner,may,muscle,,,
OP3-22-132-L,6.013835357,-28.246303,-28.36581157,-30.88,6.09,lake,common shiner,may,liver,,,
OP7-S22-105-M,3.697479761,-28.73949504,-28.06069219,-29.08,5.78,lake,common shiner,august,muscle,,,
OP7-S22-105-L,6.511177254,-22.69393452,-23.00642655,-25.82,3.8,lake,common shiner,august,liver,,,
WU-22-03-M,3.759399279,-31.19819471,-30.53842778,-31.6,5.41,creek,common shiner,may,muscle,,,
WU-22-07-M,3.770884673,-29.95682417,-29.3006029,-30.37,6.83,creek,common shiner,may,muscle,,,
WU-22-07-L,5.687522094,-30.41935313,-30.41618597,-32.73,3.86,creek,common shiner,may,liver,,,
OP7-S22-106-M,3.736230882,-31.96113143,-31.29422615,-32.34,4.19,lake,common shiner,august,muscle,,,
CC25-22-504-M,3.759303971,-28.40828907,-27.74849273,-28.81,7.87,creek,common shiner,may,muscle,,,
CC25-22-504-L,5.401750395,-29.37226711,-29.26430196,-31.4,5.47,creek,common shiner,may,liver,,,
WU-22-04-M,3.78630195,-27.14156107,-26.4901065,-27.57,6.46,creek,common shiner,may,muscle,,,
WU-22-04-L,5.629516317,-29.01677885,-28.99213885,-31.27,4.86,creek,common shiner,may,liver,,,
OP4-22-23-M,3.752710656,-28.28481645,-27.62298678,-28.68,6.26,lake,common shiner,may,muscle,,,
OP9-22-334-M,3.912844147,-27.98628429,-27.37426555,-28.54,6.7,lake,common shiner,may,muscle,,,
WU-22-34-M,3.767016326,-28.87065384,-28.21323785,-29.28,8.16,creek,creek chub,may,muscle,,,
WU-22-34-L,3.905942478,-26.32311695,-25.70893308,-26.87,7.71,creek,creek chub,may,liver,,,
OP2-S22-100-M,3.776921693,-27.43084752,-26.77649179,-27.85,6.46,lake,creek chub,august,muscle,,,
OP7-22-387-M,3.802523832,-27.47550141,-26.82907124,-27.92,7.78,lake,creek chub,may,muscle,,,
OP7-22-387-L,7.949192701,-23.02029923,-23.92948531,-27.57,7.05,lake,creek chub,may,liver,,,
CC12-22-198-M,3.887270002,-26.8616027,-26.24156933,-27.39,6.98,creek,creek chub,may,muscle,,,
CC12-22-198-L,6.184857704,-28.20699087,-28.39205217,-31.01,5.93,creek,creek chub,may,liver,,,
OP1-22-45-M,3.76047182,-28.8171329,-28.15769687,-29.22,6.78,lake,creek chub,may,muscle,,,
OP1-22-45-L,5.416439507,-27.30772489,-27.20508562,-29.35,5.51,lake,creek chub,may,liver,,,
WU-22-13-M,3.807465122,-26.45060953,-25.80571165,-26.9,6.59,creek,creek chub,may,muscle,,,
WU-22-13-L,5.725929627,-26.56132967,-26.57243627,-28.91,5.36,creek,creek chub,may,liver,,,
DN2-22-82-M,3.97915093,-27.09064058,-26.49950641,-27.71,7.05,creek,creek chub,may,muscle,,,
DN2-22-82-L,8.064161984,-25.67647964,-26.63573694,-30.34,6.88,creek,creek chub,may,liver,,,
OP16-A22-01-L,7.52528804,-18.19996484,-18.92748758,-22.33,5.89,lake,creek chub,august,liver,,,
WD-S22-207-M,3.929150482,-30.53014102,-29.92324425,-31.1,6.65,creek,creek chub,august,muscle,,,
UP1-22-117-M,3.887270002,-28.4916027,-27.87156933,-29.02,7.5,creek,creek chub,may,muscle,,,
UP1-22-117-L,5.908881445,-28.71020737,-28.78991322,-31.24,6.94,creek,creek chub,may,liver,,,
CC-S22-101-M,3.91925387,-26.54993867,-25.93993219,-27.11,8.76,creek,creek chub,august,muscle,,,
CC18-22-240-M,3.864669596,-30.2139771,-29.58687983,-30.72,6.56,creek,creek chub,may,muscle,,,
CC18-22-240L,4.678089974,-29.55869093,-29.19672298,-30.87,5.87,creek,creek chub,may,liver,,,
OP5-22-136-M,3.938611304,-26.66077481,-26.05685396,-27.24,6.17,lake,creek chub,may,muscle,,,
OP5-22-136-L,6.132303672,-25.71901936,-25.88384566,-28.47,5.86,lake,bluntnose minnow,may,liver,,,
OP5-22-33-M,3.925194588,-29.60405736,-28.99591716,-30.17,5.6,lake,bluntnose minnow,may,muscle,,,
OP5-22-127-M,3.908473293,-26.22061144,-25.60722132,-26.77,5.82,lake,bluntnose minnow,may,muscle,,,
OP6-22-146-M,3.906003834,-26.9830562,-26.36889158,-27.53,6.4,lake,bluntnose minnow,may,muscle,,,
OP7-22-266-M,3.805039291,-27.6330111,-26.98736087,-28.08,6.48,lake,bluntnose minnow,may,muscle,,,
OP7-22-338-M,3.904675689,-27.19437107,-26.57978998,-27.74,5.89,lake,bluntnose minnow,may,muscle,,,
OP9-22279M,3.993334668,-27.98659868,-27.39995153,-28.62,6.19,lake,bluntnose minnow,may,muscle,,,
OP9-22-279-L,6.554204289,-27.09133775,-27.42085964,-30.26,5.56,lake,bluntnose minnow,may,liver,,,
WD-A22-25-M,3.908570112,-31.06051559,-30.44715584,-31.61,8.34,creek,pearl dace,august,muscle,,,
WD-A22-25-L,5.925826713,-30.51343155,-30.59954166,-33.06,8.92,creek,pearl dace,august,liver,,,
CC7-22-148-M,3.97073899,-29.8889684,-29.29517636,-30.5,8.57,creek,pearl dace,may,muscle,,,
WD-S22-201-M,3.939250939,-33.18014157,-32.57642203,-33.76,5.55,creek,pearl dace,august,muscle,,,
WD-S22-201-L,7.084718103,-30.29612908,-30.83988703,-33.99,4.89,creek,pearl dace,august,liver,,,
WD-A22-33-M,3.915501572,-30.47365344,-29.8624688,-31.03,7.59,creek,pearl dace,august,muscle,,,
WD-22-12-M,3.832848222,-30.14548026,-29.50846697,-30.62,5.89,creek,pearl dace,may,muscle,,,
FU-22-25-M,3.972789943,-29.54693796,-28.95379372,-30.16,6.86,creek,pearl dace,may,muscle,,,
EF4-A22-100-M,3.830683161,-29.50762367,-28.86993699,-29.98,7.9,creek,pearl dace,august,muscle,,,
WD-22-63-M,3.843263172,-28.98516946,-28.35139777,-29.47,7.78,creek,northern redbelly dace,may,muscle,,,
WU-22-33-M,3.891007762,-30.16790232,-29.54903891,-30.7,7.53,creek,northern redbelly dace,may,muscle,,,
WU-22-33-L,3.849112751,-29.98937838,-29.35742898,-30.48,8.87,creek,northern redbelly dace,may,liver,,,
EF4-22-07-M,3.896927816,-29.08204146,-28.46503208,-29.62,8.57,creek,northern redbelly dace,may,muscle,,,
WU-22-39-M,3.941828178,-29.9975901,-29.39468184,-30.58,7.86,creek,northern redbelly dace,may,muscle,,,
WD-A22-11-M,3.77551099,-31.01224412,-30.35745234,-31.43,6.74,creek,yellow perch,august,muscle,,,
WD-A2211-L,5.603838167,-31.20220021,-31.1680871,-33.43,6.39,creek,yellow perch,august,liver,,,
WD-S22-702-M,3.849015264,-28.97947489,-28.34749511,-29.47,7.38,creek,yellow perch,august,muscle,,,
WD-S22-702-L,5.844309383,-29.85413371,-29.90951359,-32.32,6.76,creek,yellow perch,august,liver,,,
WD-A22-14-M,3.785509008,-30.40234608,-29.75064615,-30.83,6.62,creek,yellow perch,august,muscle,,,
WD-A22-12-M,3.777288705,-26.43048418,-25.7762419,-26.85,6.32,creek,yellow perch,august,muscle,,,
WD-A22-12-L,7.1014336,-25.51958074,-26.0702152,-29.23,5.56,creek,yellow perch,august,liver,,,
OP1-S22-700-M,3.822107673,-27.3161134,-26.67576112,-27.78,5.26,lake,yellow perch,august,muscle,,,
OP1-S22-700-L,6.083910973,-26.22692814,-26.37319303,-28.93,3.04,lake,yellow perch,august,liver,,,
OP5-S22-701-M,3.834095083,-28.17424587,-27.53762046,-28.65,6.46,lake,yellow perch,august,muscle,,,
OP5-S22-701-L,5.171759221,-29.02995837,-28.83947605,-30.83,5.56,lake,yellow perch,august,liver,,,
A-22-07-M,3.923745726,-28.07549173,-27.46689626,-28.64,7.67,lake,smallmouth bass,may,muscle,,,
A-22-07-L,5.522103181,-27.56311785,-27.49898471,-29.71,7.93,lake,smallmouth bass,may,liver,,,
A-22-08-M,3.899649843,-26.12934666,-25.51319016,-26.67,7.4,lake,smallmouth bass,may,muscle,,,
A-22-08-L,5.102669667,-26.41835703,-26.20340899,-28.15,7.95,lake,smallmouth bass,may,liver,,,
A-22-02-M,4.209348977,-25.77274451,-25.25528054,-26.62,6.99,lake,smallmouth bass,may,muscle,,,
A-22-02-L,6.021635541,-25.17858081,-25.30106052,-27.82,7.19,lake,smallmouth bass,may,liver,,,